,index,year,day,date,oTime,pTime,sTime,spTime,distance,quality,type,oTimeUTC,endTime,max_of_dur_cont
0,4,2014,223,2014-08-11,18:48:11.924,18:49:52.000,18:51:6.229,74.229,797.98813,A,R,2014-08-11T18:48:11.924000Z,2014-08-11T18:50:49.924000Z,0 days 00:02:38
1,5,2014,223,2014-08-11,15:22:52.933,15:24:4.000,15:24:56.712,52.712,518.35564,,R,2014-08-11T15:22:52.933000Z,2014-08-11T15:24:42.930000Z,0 days 00:01:49.997000
2,6,2014,222,2014-08-10,17:26:09.517,17:26:23.000,17:26:33.000,10.0,80.142,A,L,2014-08-10T17:26:09.517000Z,2014-08-10T17:26:46.517000Z,0 days 00:01:30
3,7,2014,220,2014-08-08,03:28:44.264,03:28:52.050,03:28:57.825,5.775,45.24259,B,L,2014-08-08T03:28:44.264000Z,2014-08-08T03:29:12.864000Z,0 days 00:01:30
4,8,2014,201,2014-07-20,08:15:09.795,08:16:59.000,08:18:20.000,81.0,894.1428,B,R,2014-07-20T08:15:09.795000Z,2014-07-20T08:17:20.794000Z,0 days 00:02:10.999000
5,9,2014,196,2014-07-15,17:23:10.937,17:23:18.150,17:23:23.500,5.35,41.81619,A,L,2014-07-15T17:23:10.937000Z,2014-07-15T17:23:35.585000Z,0 days 00:01:30
6,10,2014,192,2014-07-11,22:03:14.430,22:03:31.350,22:03:43.900,12.55,101.94152,A,L,2014-07-11T22:03:14.430000Z,2014-07-11T22:03:50.230000Z,0 days 00:01:30
7,11,2014,190,2014-07-09,15:30:48.300,15:30:55.500,15:31:0.840,5.34,41.73575,B,L,2014-07-09T15:30:48.300000Z,2014-07-09T15:31:13.202000Z,0 days 00:01:30
8,12,2014,186,2014-07-05,13:28:35.016,13:29:52.688,13:30:50.299,57.611,578.55435,,R,2014-07-05T13:28:35.016000Z,2014-07-05T13:30:42.327000Z,0 days 00:02:07.311000
9,13,2014,183,2014-07-02,04:01:25.926,04:02:52.000,04:03:55.843,63.843,658.08801,,R,2014-07-02T04:01:25.926000Z,2014-07-02T04:06:56.925000Z,0 days 00:05:30.999000
10,14,2014,174,2014-06-23,17:50:40.737,17:51:3.050,17:51:19.600,16.55,137.25296,A,L,2014-06-23T17:50:40.737000Z,2014-06-23T17:51:46.690000Z,0 days 00:01:30
